incidencia,faixa_etaria,order
15.33498413706549,< 1,0
11.798143170778298,1-4,1
9.000866363757535,5-9,2
11.033095609733579,10-14,3
25.93708754406144,15-19,4
61.853474363354664,20-29,5
80.93944910158318,30-39,6
61.557762562581836,40-49,7
66.8959359581293,50-59,8
58.32745513516102,60-69,9
49.19705416357809,70-79,10
60.60433801778139,> 79,11
