Data,Confirmados,Ativos
2020-11-10,11121,1107.0
2020-11-11,11265,1222.0
2020-11-12,11469,1397.0
2020-11-13,11679,1558.0
2020-11-14,11784,1603.0
2020-11-15,11876,1686.0
2020-11-16,12063,1725.0
2020-11-17,12366,1966.0
2020-11-18,12564,2049.0
2020-11-19,12744,2154.0
2020-11-20,12919,2216.0
2020-11-21,12981,2221.0
2020-11-22,13082,2192.0
2020-11-23,13486,2431.0
2020-11-24,13893,2547.0
2020-11-25,14156,2725.0
2020-11-26,14365,2725.0
2020-11-27,14628,2896.0
2020-11-28,14836,2956.0
2020-11-29,15046,2958.0
2020-11-30,15455,3203.0
2020-12-01,15779,3316.0
2020-12-02,16009,3497.0
2020-12-03,16328,3662.0
2020-12-04,16619,3848.0
2020-12-05,16767,3760.0
2020-12-06,16832,3274.0
2020-12-07,16941,3016.0
2020-12-08,17474,3365.0
2020-12-09,17896,3682.0
2020-12-10,18200,3857.0
2020-12-11,18601,4110.0
2020-12-12,18975,4348.0
2020-12-13,19000,4253.0
2020-12-14,19258,4434.0
2020-12-15,19661,4561.0
2020-12-16,20030,4903.0
2020-12-17,20337,5029.0
2020-12-18,20494,4934.0
2020-12-19,20682,4698.0
2020-12-20,20881,4417.0
2020-12-21,21019,4283.0
2020-12-22,21423,4546.0
2020-12-23,21664,4483.0
2020-12-24,21804,4449.0
2020-12-27,21941,3902.0
2020-12-28,22104,3511.0
2020-12-29,22304,2911.0
2020-12-30,22484,2812.0
