Data,TempoDobra,TempoDobra_min,TempoDobra_max
2020-03-23,2.8363391768796404,1.8923054519398517,5.660002228411452
2020-03-24,4.3749999999999964,3.0208153644303053,7.9298113196422895
2020-03-25,4.232271678514574,2.9675825595345215,7.375455986419378
2020-03-26,5.936505088748173,4.128167005901459,10.564091254395478
2020-03-27,3.7991756270852783,2.40852266169343,8.989756377300674
2020-03-28,3.060888726918993,1.972600056968909,6.827809033931801
2020-03-29,2.786199923324398,1.9621079050088224,4.803821245742736
2020-03-30,2.77899077585691,1.9597210087857218,4.775343660006923
2020-03-31,3.2167389474056747,2.0287418674490807,7.762085565489513
2020-04-01,4.964424538643396,3.6036172309788697,7.976550140688091
2020-04-02,5.502071380121755,4.079566137262945,8.447704053159086
2020-04-03,5.057298604648762,3.9324049214704537,7.083621127146135
2020-04-04,5.062152950159782,3.938405275463874,7.083209651744013
2020-04-05,4.651038211628889,4.0522654602155015,5.4574435472497695
2020-04-06,4.953838979960565,4.273730174882982,5.8913750090804555
2020-04-07,5.802132577078409,4.468357678632783,8.270958360744189
2020-04-08,7.085798698898989,5.15401121796208,11.333876528407323
2020-04-09,9.702221747174507,7.645077488225876,13.27400203647265
2020-04-10,11.750003944255928,8.477600095346853,19.13699884539804
2020-04-11,16.952115744885056,13.140804682500292,23.877441909426373
2020-04-12,19.75070946146473,14.098971140356165,32.96519566315844
2020-04-13,24.490207201956128,20.419429106251396,30.588214858531558
2020-04-14,26.48064653730846,22.884720052870108,31.417319112020458
2020-04-15,26.43774257000286,22.876644177322646,31.311920272347987
2020-04-16,31.056651654356347,22.68344037284309,49.22854145001568
2020-04-17,37.595197293122034,26.033751760663723,67.62875372377202
2020-04-18,58.48930918892612,41.446095447604314,99.33882073790389
2020-04-19,65.74265939664632,48.40266515834324,102.44192901460788
2020-04-20,60.470341209424454,43.27985625575884,100.3147084295818
2020-04-21,58.030136561937184,43.24281751007687,88.18635207242703
2020-04-22,41.052738610363434,26.018447943988523,97.24264825202569
2020-04-23,23.868028472849364,15.28579914964764,54.42501514562095
2020-04-24,17.80310004474314,12.389215210195545,31.620930620433295
2020-04-25,16.124675094188422,12.281170050700146,23.469748641923644
2020-04-26,13.39972375403642,11.039557020405418,17.04347996261627
2020-04-27,15.46153099255677,11.802839412621772,22.407496907901564
2020-04-28,16.93252808253142,13.0307563803397,24.169571548836245
2020-04-29,16.36847687547586,12.620516040822979,23.282878513635552
2020-04-30,13.237264223024921,9.924613160779112,19.86924981764275
2020-05-01,11.456277361398927,8.321920372825863,18.378229027518998
2020-05-02,9.830574254448342,8.463122299355074,11.725087011062802
2020-05-03,10.76723074959478,8.38216571108742,15.049390917393278
2020-05-04,14.127380114278239,9.055004060207247,32.120369790445345
2020-05-05,24.283098469387536,13.889945880029341,96.45720964949557
2020-05-06,38.062907023407455,25.73882608411203,73.031170816522
2020-05-07,35.59239114923027,23.38809602002226,74.43250017658181
2020-05-08,33.63182510921683,22.934585575934754,63.03098468849078
2020-05-09,32.97953231500959,22.947320741828726,58.59740680978406
2020-05-10,40.03962157171572,24.846097834842237,103.06352945275565
2020-05-11,56.82836881696556,37.83545253867134,114.11027801739135
2020-05-12,47.630698895183144,28.76444539148685,138.41625347946973
2020-05-13,29.388950797072095,20.00585108927231,55.34827580937637
2020-05-14,22.061017680734583,16.863684275893046,31.889152065188185
2020-05-15,19.66749285418051,17.094355969237945,23.152541251540445
2020-05-16,13.560911204144185,9.43307473679984,24.11222312564063
2020-05-17,11.475740446495003,8.315965631175345,18.508210140687748
2020-05-18,8.876144319202004,6.634855323297415,13.404129811227959
2020-05-19,8.24889298601603,6.588660357581697,11.027686150183259
2020-05-20,7.924029890019015,6.500515708173024,10.145807619909538
2020-05-21,9.679235688993558,7.664459694759647,13.1310203803917
2020-05-22,9.725460227438203,7.699033084781611,13.19969002248812
2020-05-23,10.782853629437923,8.946950336369161,13.566730091852046
2020-05-24,9.877239419411755,8.481708262851116,11.822434288780997
2020-05-25,10.538938204531247,8.86126307564961,13.000231174225801
2020-05-26,10.135587718795808,8.754417258079396,12.034205077461664
2020-05-27,11.289385834689176,10.270932355584996,12.532048955976062
2020-05-28,12.560325802972404,10.486139521914708,15.657401442861019
2020-05-29,13.937467632425161,11.891276745222171,16.83421426027965
2020-05-30,15.02443154066624,12.409922484981955,19.034625965139554
2020-05-31,17.468188585892605,15.526924131066075,19.964230324028215
2020-06-01,19.45715908054098,16.564597451408147,23.573666124547543
2020-06-02,19.729087516580105,16.743805663189775,24.009843778036533
2020-06-03,17.617439760023334,13.321331984666552,26.00353834102516
2020-06-04,16.084190211501284,12.646558568436014,22.08831226309542
2020-06-05,12.429487873611588,9.383712844387377,18.402633223968216
2020-06-06,11.414934808985894,9.272975277273884,14.843664921269783
2020-06-07,12.326501108261787,9.416346375580236,17.840022305683892
2020-06-08,14.690257529335122,10.700830467011965,23.422516254698316
2020-06-09,13.490400381329613,9.730680400389334,21.984867653187568
