Homens,Mulheres,faixa_etaria,order
22.270042859856165,29.596922934263475,15-19,4.0
56.13161882083103,67.48735034402775,20-29,5.0
79.69538343142544,82.09255906913397,30-39,6.0
60.74578822808218,62.26377173762335,40-49,7.0
67.12738411195915,66.70288516567712,50-59,8.0
62.582830521111255,54.77567769385143,60-69,9.0
55.12157485094789,44.51343030398679,70-79,10.0
69.7074681719239,54.918555520565285,> 79,11.0
