,date,mean_r,lower_5,upper_95
0,2020-03-08,1.5194694603356478,0.9876204271791957,2.2274004121606343
1,2020-03-09,1.498465823369365,1.0057682437176112,2.1381492242418356
2,2020-03-10,1.4759336317864737,1.0113675621011995,2.1032648981653863
3,2020-03-11,1.448174218656416,1.006624309523719,2.0023749726423383
4,2020-03-12,1.421662416211773,0.9927415378914948,1.9556699632326096
5,2020-03-13,1.38777520888177,0.9933794402535964,1.8722438296843487
6,2020-03-14,1.3513230941280607,0.9760074838767889,1.8097941548944303
7,2020-03-15,1.3077354651850948,0.9583856460433032,1.7326033984648441
8,2020-03-16,1.263846459100897,0.9337621539620855,1.6609937286990932
9,2020-03-17,1.2176808854227354,0.9086134684687623,1.5948058190991172
10,2020-03-18,1.169771005470945,0.8744499652957884,1.5197252677352917
11,2020-03-19,1.1265568292223909,0.8507653923825,1.4622411252663416
12,2020-03-20,1.081147334058377,0.8165595585886796,1.4029348609538388
13,2020-03-21,1.0389657474519558,0.7800433825952576,1.3442184568574829
14,2020-03-22,1.004602825623952,0.7605236272224765,1.2990618253958006
15,2020-03-23,0.9751044237144875,0.7343359458592345,1.2501133406679708
16,2020-03-24,0.9488475247926537,0.717539228282367,1.2109422907184066
17,2020-03-25,0.932879326146373,0.7123241414036113,1.1910372966401317
18,2020-03-26,0.9238364722793941,0.7002081968982327,1.1838188084967605
19,2020-03-27,0.920196398493165,0.70063193873553,1.1719739635704034
20,2020-03-28,0.9232804930975443,0.7028955908183115,1.1811788083536419
21,2020-03-29,0.9353357264138447,0.7099152337824878,1.1899193963916985
22,2020-03-30,0.9492989719460454,0.7218924074838188,1.2036404970556844
23,2020-03-31,0.9677477424823054,0.73501429079726,1.2264501508073276
24,2020-04-01,0.9933179253232628,0.763023906942884,1.263722353718255
25,2020-04-02,1.0225984491030775,0.7895726107397232,1.290051243911976
26,2020-04-03,1.054987262552097,0.8140541644167183,1.341133737881511
27,2020-04-04,1.0915043722439646,0.8437213436241886,1.3839644256195074
28,2020-04-05,1.1212921348252838,0.8698141059216908,1.4244425498036999
29,2020-04-06,1.1514806615092896,0.8860042003086961,1.4688292840388697
30,2020-04-07,1.1800961593510464,0.9105672406023329,1.5061152564714004
31,2020-04-08,1.200672857070642,0.9236803116527829,1.5289187065232581
32,2020-04-09,1.217712751841814,0.9300322950427189,1.5538287234416321
33,2020-04-10,1.2278796209570797,0.9444379379028021,1.5571845303319847
34,2020-04-11,1.2342790076775236,0.9439751002677131,1.56244171305243
35,2020-04-12,1.2348979814648287,0.947203623653893,1.5572785217774368
36,2020-04-13,1.2266363000848421,0.9397896781004409,1.5550026606007128
37,2020-04-14,1.2197156666538298,0.9354436872750227,1.5378756723924802
38,2020-04-15,1.2101044578608149,0.9320871273331995,1.5291412156853397
39,2020-04-16,1.2029053444811313,0.9236653363512292,1.5253678671850284
40,2020-04-17,1.194632700245489,0.9253225004632528,1.5189921957908448
41,2020-04-18,1.1947375877884514,0.926373389682535,1.5117390057352333
42,2020-04-19,1.2038290941806902,0.9248170248637233,1.5200919709276897
43,2020-04-20,1.2170937612854906,0.9388464655604304,1.5392766768969737
44,2020-04-21,1.2392988625226502,0.9617666480459904,1.561504718411116
45,2020-04-22,1.2657479010675183,0.9847863112463238,1.5909663603116329
46,2020-04-23,1.3050587642498148,1.0131606595927618,1.6323879219851642
47,2020-04-24,1.3499308513327626,1.0516241037523435,1.6831207912887605
48,2020-04-25,1.4016430256457773,1.096923691079684,1.7518176909429712
49,2020-04-26,1.4535212188505195,1.147799653791005,1.8135109749268776
50,2020-04-27,1.5054283899356808,1.1816109797066292,1.862770773178889
51,2020-04-28,1.5525933751289733,1.2266430285212386,1.92489939951046
52,2020-04-29,1.5856801908816356,1.2494748204833135,1.9652745971410206
53,2020-04-30,1.6095141498107186,1.2737461086576611,2.0146623463082802
54,2020-05-01,1.624053759952999,1.2764233034641261,2.028346683165358
55,2020-05-02,1.613684113403283,1.260972429221644,2.0253987027683302
56,2020-05-03,1.5872766431729082,1.2434016967676544,1.9866970028093656
57,2020-05-04,1.5519019951493098,1.211091097748343,1.9421512673284218
58,2020-05-05,1.5056020683599525,1.183051591311205,1.8763234575653671
59,2020-05-06,1.448591726807825,1.1277392099598298,1.8054046815265221
60,2020-05-07,1.3949687063735716,1.0887599815407916,1.7475893556098872
61,2020-05-08,1.3417149405791158,1.0515886446568008,1.6732045334557393
62,2020-05-09,1.297386735684874,1.0170766761458099,1.6109618739009641
63,2020-05-10,1.2570797049681648,0.9875289787978222,1.5654746796249577
64,2020-05-11,1.2313638384273156,0.9719907943550755,1.5291689541540108
65,2020-05-12,1.2129944832739985,0.9646879916336243,1.5086507541372391
66,2020-05-13,1.2062872592160752,0.9608253529117043,1.4930910778245103
67,2020-05-14,1.2052460773464986,0.9559810845014824,1.499925118016708
68,2020-05-15,1.209648661952867,0.9544318796184748,1.503765082308792
69,2020-05-16,1.225459868730291,0.9676795406697103,1.5113944583535193
70,2020-05-17,1.242530571688078,0.9920544241782452,1.5282356671978854
71,2020-05-18,1.2599666885528507,1.001479363512732,1.5405438302592762
72,2020-05-19,1.2832272355194976,1.0232993694061578,1.581089313155243
73,2020-05-20,1.3008778744639335,1.037260506510661,1.5900630040783916
74,2020-05-21,1.3162611782792732,1.0414090739847006,1.626513621885897
75,2020-05-22,1.3214335215615132,1.0481199695495047,1.6376965261671317
76,2020-05-23,1.32171525256613,1.044894383089964,1.635362212654031
77,2020-05-24,1.3130024852566007,1.0388676793122573,1.6168324781961376
