category,count_2022,category_str_pt,category_str_en,category_str_complete_pt,category_str_complete_en
1,363,Jan,Jan,Janeiro,January
2,882,Fev,Feb,Fevereiro,February
3,530,Mar,Mar,Março,March
4,800,Abr,Apr,Abril,April
5,916,Mai,Mai,Maio,May
6,802,Jun,Jun,Junho,June
7,937,Jul,Jul,Julho,July
8,1042,Ago,Aug,Agosto,August
9,837,Set,Sep,Setembro,September
10,1146,Out,Oct,Outubro,October
11,981,Nov,Nov,Novembro,November
12,873,Dez,Dec,Dezembro,December
