date,name,value,rank,lastValue
2022-01-02,ネクライトーキー,0,2,0
2022-01-02,フレデリック,0,1,0
2022-01-02,ヨルシカ,0,0,0
2022-01-03,Aimer,0,66,0
2022-01-03,Anderson .Paak,0,65,0
2022-01-03,Antônio Carlos Jobim,0,64,0
2022-01-03,Arctic Monkeys,0,63,0
2022-01-03,BaianaSystem,3,0,0
2022-01-03,Black Alien,0,62,0
2022-01-03,Boi Bumbá Garantido,0,61,0
2022-01-03,Camarada Janderson,0,60,0
2022-01-03,Chico Buarque,0,59,0
2022-01-03,Chico Science & Nação Zumbi,0,58,0
2022-01-03,Cory Wong,0,57,0
2022-01-03,Criolo,0,56,0
2022-01-03,Daft Punk,0,55,0
2022-01-03,Don L,1,1,0
2022-01-03,Elza Soares,0,54,0
2022-01-03,Emicida,0,53,0
2022-01-03,FBC,0,52,0
2022-01-03,Febem,0,51,0
2022-01-03,Foster the People,0,50,0
2022-01-03,Gen Hoshino,0,49,0
2022-01-03,Gorillaz,0,48,0
2022-01-03,Hiromi,0,47,0
2022-01-03,Jamiroquai,0,46,0
2022-01-03,Joe Hisaishi,0,45,0
2022-01-03,John Mayer,0,44,0
2022-01-03,Jovem Dionisio,0,43,0
2022-01-03,KANA-BOON,0,42,0
2022-01-03,KT Tunstall,0,41,0
2022-01-03,Kenshi Yonezu,0,40,0
2022-01-03,Khruangbin,0,39,0
2022-01-03,LUDMILLA,0,38,0
2022-01-03,Lilas Ikuta,0,37,0
2022-01-03,Lô Borges,0,36,0
2022-01-03,MC Primitivo,0,35,0
2022-01-03,Masayuki Suzuki,0,34,0
2022-01-03,Novos Baianos,0,33,0
2022-01-03,O'Donel Levy,0,32,0
2022-01-03,Official HIGE DANdism,0,31,0
2022-01-03,Papatinho,0,30,0
2022-01-03,Paulinho da Viola,0,29,0
2022-01-03,Phoenix,0,28,0
2022-01-03,Pomplamoose,0,27,0
2022-01-03,RADWIMPS,0,26,0
2022-01-03,Rage Against the Machine,0,25,0
2022-01-03,Red Hot Chili Peppers,0,24,0
2022-01-03,SILVIO RODRÍGUEZ,0,23,0
2022-01-03,Saint Motel,0,22,0
2022-01-03,Sakanaction,0,21,0
2022-01-03,Scary Pockets,0,20,0
2022-01-03,Taichi Mukai,0,19,0
2022-01-03,Tame Impala,0,18,0
2022-01-03,The Kooks,0,17,0
2022-01-03,The Strokes,0,16,0
2022-01-03,Two Door Cinema Club,0,15,0
2022-01-03,Victor Jara,0,14,0
2022-01-03,Vulfpeck,0,13,0
2022-01-03,Wednesday Campanella,0,12,0
2022-01-03,YOASOBI,0,11,0
2022-01-03,Yorushika,0,10,0
2022-01-03,Yuki Hayashi,0,9,0
2022-01-03,go!go!vanillas,0,8,0
2022-01-03,ichika Nito,0,7,0
2022-01-03,never young beach,0,6,0
2022-01-03,あたらよ,0,5,0
2022-01-03,ネクライトーキー,0,4,0
2022-01-03,フレデリック,0,3,0
2022-01-03,ヨルシカ,0,2,0
2022-01-04,Aimer,0,66,0
2022-01-04,Anderson .Paak,0,65,0
2022-01-04,Antônio Carlos Jobim,0,64,0
2022-01-04,Arctic Monkeys,0,63,0
2022-01-04,BaianaSystem,3,0,3
2022-01-04,Black Alien,1,6,0
2022-01-04,Boi Bumbá Garantido,0,62,0
2022-01-04,Camarada Janderson,0,61,0
2022-01-04,Chico Buarque,0,60,0
2022-01-04,Chico Science & Nação Zumbi,0,59,0
2022-01-04,Cory Wong,0,58,0
2022-01-04,Criolo,0,57,0
2022-01-04,Daft Punk,0,56,0
2022-01-04,Don L,1,5,1
2022-01-04,Elza Soares,0,55,0
2022-01-04,Emicida,0,54,0
2022-01-04,FBC,0,53,0
2022-01-04,Febem,0,52,0
2022-01-04,Foster the People,1,4,0
2022-01-04,Gen Hoshino,0,51,0
2022-01-04,Gorillaz,1,3,0
2022-01-04,Hiromi,0,50,0
2022-01-04,Jamiroquai,0,49,0
2022-01-04,Joe Hisaishi,0,48,0
2022-01-04,John Mayer,0,47,0
2022-01-04,Jovem Dionisio,0,46,0
2022-01-04,KANA-BOON,0,45,0
2022-01-04,KT Tunstall,0,44,0
2022-01-04,Kenshi Yonezu,0,43,0
2022-01-04,Khruangbin,0,42,0
2022-01-04,LUDMILLA,0,41,0
2022-01-04,Lilas Ikuta,0,40,0
2022-01-04,Lô Borges,0,39,0
2022-01-04,MC Primitivo,0,38,0
2022-01-04,Masayuki Suzuki,0,37,0
2022-01-04,Novos Baianos,0,36,0
2022-01-04,O'Donel Levy,0,35,0
2022-01-04,Official HIGE DANdism,0,34,0
2022-01-04,Papatinho,0,33,0
2022-01-04,Paulinho da Viola,0,32,0
2022-01-04,Phoenix,0,31,0
2022-01-04,Pomplamoose,0,30,0
2022-01-04,RADWIMPS,0,29,0
2022-01-04,Rage Against the Machine,0,28,0
2022-01-04,Red Hot Chili Peppers,0,27,0
2022-01-04,SILVIO RODRÍGUEZ,0,26,0
2022-01-04,Saint Motel,0,25,0
2022-01-04,Sakanaction,0,24,0
2022-01-04,Scary Pockets,0,23,0
2022-01-04,Taichi Mukai,0,22,0
2022-01-04,Tame Impala,0,21,0
2022-01-04,The Kooks,0,20,0
2022-01-04,The Strokes,1,2,0
2022-01-04,Two Door Cinema Club,0,19,0
2022-01-04,Victor Jara,0,18,0
2022-01-04,Vulfpeck,0,17,0
2022-01-04,Wednesday Campanella,0,16,0
2022-01-04,YOASOBI,0,15,0
2022-01-04,Yorushika,0,14,0
2022-01-04,Yuki Hayashi,0,13,0
2022-01-04,go!go!vanillas,0,12,0
2022-01-04,ichika Nito,0,11,0
2022-01-04,never young beach,0,10,0
2022-01-04,あたらよ,0,9,0
2022-01-04,ネクライトーキー,0,8,0
2022-01-04,フレデリック,1,1,0
2022-01-04,ヨルシカ,0,7,0
2022-01-05,Aimer,0,66,0
2022-01-05,Anderson .Paak,0,65,0
2022-01-05,Antônio Carlos Jobim,0,64,0
2022-01-05,Arctic Monkeys,0,63,0
2022-01-05,BaianaSystem,6,0,3
2022-01-05,Black Alien,5,1,1
2022-01-05,Boi Bumbá Garantido,0,62,0
2022-01-05,Camarada Janderson,0,61,0
2022-01-05,Chico Buarque,0,60,0
2022-01-05,Chico Science & Nação Zumbi,0,59,0
2022-01-05,Cory Wong,0,58,0
2022-01-05,Criolo,0,57,0
2022-01-05,Daft Punk,0,56,0
2022-01-05,Don L,2,3,1
2022-01-05,Elza Soares,0,55,0
2022-01-05,Emicida,0,54,0
2022-01-05,FBC,0,53,0
2022-01-05,Febem,0,52,0
2022-01-05,Foster the People,1,8,1
2022-01-05,Gen Hoshino,0,51,0
2022-01-05,Gorillaz,1,7,1
