,streak,name,date
7046,2,volta da vitória / citação: us mano e as mina (xis) - Don L,2022-05-11 14:48:00
7057,2,volta da vitória / citação: us mano e as mina (xis) - Don L,2022-05-11 12:39:00
7069,2,Se Tá Solteira - FBC,2022-05-11 01:51:00
7165,2,Água - BaianaSystem,2022-05-05 13:03:00
7195,2,DADDY ! DADDY ! DO ! - From THE FIRST TAKE - Masayuki Suzuki,2022-05-02 14:27:00
7200,2,O Que Se Cala - Elza Soares,2022-05-02 13:50:00
7212,2,O patrão é vagabundo (O Manifesto Comunista) - Camarada Janderson,2022-05-02 12:25:00
7214,2,Fora Bolsonaro - Camarada Janderson,2022-05-01 13:05:00
7293,2,Clouds + Cream - Sticky Fingers,2022-04-28 21:23:00
7299,2,スターマーカー - KANA-BOON,2022-04-28 20:26:00
7336,2,カタオモイ - Aimer,2022-04-23 13:22:00
7348,2,Satellite - Single Edit - Two Door Cinema Club,2022-04-22 17:20:00
7349,2,III - Foster the People,2022-04-22 12:24:00
7355,2,Shine on - live - The Kooks,2022-04-22 11:50:00
7357,2,Miçanga - BaianaSystem,2022-04-22 02:56:00
7359,2,Que Nem o Meu Cachorro - Black Alien,2022-04-22 02:50:00
7360,2,Carta Pra Amy - Black Alien,2022-04-22 02:46:00
7374,2,Fora Bolsonaro - Camarada Janderson,2022-04-22 00:50:00
7375,2,pânico de nada - Don L,2022-04-22 00:47:00
7376,2,pela boca - Don L,2022-04-22 00:43:00
7381,2,contigo pro que for - Don L,2022-04-22 00:33:00
7382,2,Junk of the Heart (Happy) - The Kooks,2022-04-22 00:29:00
7383,2,Brejo Da Cruz - Chico Buarque,2022-04-22 00:25:00
7388,2,Salve - BaianaSystem,2022-04-22 00:12:00
7389,2,Naive - acoustic - The Kooks,2022-04-22 00:08:00
7390,2,Comunista de Buteco - Dj Saddam,2022-04-22 00:05:00
7394,2,Oddloop - フレデリック,2022-04-21 13:28:00
7395,2,Be Who You Are - The Kooks,2022-04-21 13:24:00
7396,2,Be Who You Are - Acoustic - The Kooks,2022-04-21 13:21:00
7397,2,Blackbird - Hiromi,2022-04-21 13:16:00
7404,2,A Felicidade - Tom Zé,2022-04-21 13:00:00
7405,2,忘れられないの(カラオケ) - Sakanaction,2022-04-21 12:56:00
7435,4,volta da vitória / citação: us mano e as mina (xis) - Don L,2022-04-21 01:22:00
7529,2,キセキ - GReeeeN,2022-04-18 13:15:00
7592,2,Naive - acoustic - The Kooks,2022-04-16 04:28:00
7615,2,Naive - The Kooks,2022-04-14 20:52:00
7629,2,Gap - The Kooks,2022-04-14 19:45:00
7630,5,Shine on - live - The Kooks,2022-04-14 17:40:00
7689,2,Dengo - Anavitória,2022-04-12 22:53:00
7696,2,Dynamite - Scary Pockets,2022-04-12 19:43:00
7744,2,Don't Take the Money - Bleachers,2022-04-10 21:37:00
7752,2,Lost in Yesterday - Tame Impala,2022-04-09 19:01:00
7756,2,O Coice do Gafanhoto (Vietnamitas) - MC Primitivo,2022-04-09 18:45:00
7790,2,Fogo no Pavio (oficial) - Camarada Janderson,2022-04-09 01:24:00
