,count_2019,count_2020,category,category_str_pt,category_str_en,category_str_complete_pt,category_str_complete_en
0,2182.0,1332,0,Seg,Mon,Segunda,Monday
1,1559.0,1525,1,Ter,Tue,Terça,Tuesday
2,1452.0,1362,2,Qua,Wed,Quarta,Wednesday
3,1949.0,1335,3,Qui,Thu,Quinta,Thursday
4,1449.0,1277,4,Sex,Fri,Sexta,Friday
5,914.0,951,5,Sáb,Sat,Sábado,Saturday
6,710.0,900,6,Dom,Sun,Domingo,Sunday
