hour,count
0,485
1,442
2,567
3,314
4,166
5,72
6,20
7,17
8,31
9,48
10,110
11,371
12,654
13,702
14,712
15,516
16,549
17,727
18,821
19,830
20,691
21,449
22,359
23,456
