category,count_2022,category_str_en,category_str_pt,category_str_complete_en,category_str_complete_pt
0,1888,Mon,Seg,Monday,Segunda
1,1544,Tue,Ter,Tuesday,Terça
2,1741,Wed,Qua,Wednesday,Quarta
3,1419,Thu,Qui,Thursday,Quinta
4,1318,Fri,Sex,Friday,Sexta
5,1219,Sat,Sáb,Saturday,Sábado
6,980,Sun,Dom,Sunday,Domingo
